constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Warrington South,28000.0,0.0,2465.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567484361,348,352,299,364,210,360,375,357,2317,7.748460023899697,0.6438593583754083,0.9784059522948046,0.2701389497463459,0.187606500550151,29519,0.09961800600000001,265000,1.9864324846922332,0.43342116816556464
Warwick and Leamington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417492391,412,406,412,434,308,262,346,320,2488,7.819636302367592,1.3791037458736506,0.4323489382448624,0.304296031568758,0.167718338172883,38766,0.18637231599999998,330000,1.9650470324000977,0.4359703792571665
Watford,32500.0,0.0,3286.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442961969,371,360,393,420,365,204,144,230,2116,7.6577552711348655,1.3016483420236424,-0.9733057000257758,0.3038772125887737,0.130060564548109,35955,0.332244631,410000,2.0100357919854024,0.46410161513775455
Welwyn Hatfield,53244.05,0.0,0.0,6179.66,0.0,0.0,0.0,0.0,0.0,0.0,0.465591209,388,377,415,343,358,297,115,452,2357,7.765569081097317,1.6871933089015008,0.09520817240191258,0.328250759758628,0.15494697016141,34486,0.224605859,420000,2.004544313904414,0.4310835119991944
West Bromwich,39500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398519227,81,73,96,89,116,171,261,58,864,6.762729506931879,-2.468945603345241,-0.8845019854664589,0.3215360571556146,0.156436704621567,20954,0.24145294,214000,1.990791871058164,0.43097642474524395
West Dorset,56765.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527076121,347,379,337,374,355,478,118,131,2172,7.6838639802564295,1.625073770283376,-1.045543532513814,0.2181374877299635,0.326388229209545,28953,0.06940821999999999,340000,1.937867851193781,0.21547717821429732
West Lancashire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606991378,269,213,172,255,238,388,323,397,1986,7.594381242551817,-0.1974893453238314,0.9741483697959661,0.304384502206963,0.214046101029916,24897,0.061849588,222500,1.989585506051272,0.4038935828317801
West Suffolk,71500.0,0.0,0.0,145000.0,0.0,400.0,0.0,0.0,0.0,0.0,0.4819633,315,405,411,147,339,331,33,362,2028,7.615298339825815,1.258247968597311,-0.3234768590136118,0.2848506104180228,0.192077091370643,25618,0.193413162,275000,1.9601041584470922,0.27376340549049794
West Worcestershire,0.0,0.0,0.0,0.0,465.0,390.0,0.0,0.0,0.0,0.0,0.548562469,362,374,333,424,427,407,88,147,2200,7.696667081526462,1.8219709001901274,-1.31733067382465,0.2345033457546973,0.286873422286332,31938,0.056075215000000005,330000,1.9875521349402032,0.3357270728688455
Westmorland and Lonsdale,141249.2,0.0,0.0,0.0,0.0,1427.41,0.0,0.0,0.0,0.0,0.555120492,401,485,457,381,413,521,175,47,2479,7.8160138391590275,2.4484223715588853,-1.0767528903342365,0.21488970185546138,0.282722513089005,29007,0.06186889500000001,280000,1.949761618107392,0.3366605542163683
Weston-super-Mare,2100.0,0.0,1046.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445864933,173,153,110,168,188,173,390,481,1663,7.416979621381154,-1.4509486473907818,1.4313983531909558,0.2661626907811285,0.216375465444576,21767,0.103964905,252250,1.9317317503014562,0.4269521851818267
Wigan,57000.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637849175,124,138,95,108,75,111,488,435,1450,7.280008252884188,-2.342859550433867,1.7129567119818974,0.2797825105358212,0.189466059602649,22877,0.073947436,170000,1.9554002568959135,0.3805911075504718
Wimbledon,49628.0,0.0,0.0,1001.17,0.0,1552.86,0.0,0.0,0.0,0.0,0.46327699,508,482,527,533,504,378,291,133,2848,7.954723334497908,2.941519399727208,-0.6633891291109919,0.2735337963131292,0.151165327418827,53859,0.38072743,700000,2.039570727251969,0.46410161513775455
Winchester,89705.0,0.0,0.0,0.0,0.0,1475.85,0.0,0.0,0.0,0.0,0.490221157,505,512,508,501,510,437,210,325,3003,8.007700012884026,3.3434934409731443,-0.03812206453282461,0.305031121792765,0.215665105100594,40086,0.116322586,519500,2.0064286219998584,0.39932120903702517
Windsor,23554.0,0.0,19590.0,8750.0,0.0,675.0,0.0,0.0,0.0,0.0,0.480279238,464,474,512,441,472,309,168,372,2748,7.918992488165245,2.755365229835543,-0.13054340314805724,0.326343146480261,0.166088631984585,37186,0.26118622199999997,525000,2.0056276849642005,0.34844496409727815
Wirral West,17000.0,0.0,3012.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609337308,382,361,257,494,160,497,505,339,2613,7.868636894184167,0.9116888625559005,1.5461319509078408,0.2390057361376666,0.28585651736115,29935,0.047255195,275000,1.9682452693620103,0.3705299767766436
Witham,208900.0,0.0,0.0,0.0,0.0,4670.0,0.0,0.0,0.0,0.0,0.487415395,411,399,386,289,363,367,279,419,2502,7.8252452914317745,1.4897053341782145,0.850442144109935,0.26766422867878903,0.221278553694845,23148,0.065384961,360000,2.0281870385561933,0.33143780833186587
Witney,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50939264,516,501,509,398,498,523,236,484,3149,8.055157731819678,3.352555742431165,1.0010289677254973,0.2741649394132645,0.196956712372448,29806,0.106304268,360000,2.0289353461118282,0.30295626978435
Woking,45710.7,0.0,0.0,3762.46,0.0,0.0,0.0,0.0,0.0,0.0,0.475885822,476,472,473,463,440,338,186,413,2785,7.932362154339751,2.6894252877993896,0.1662701491482099,0.2867084537190788,0.168863206596339,37112,0.241949176,450000,2.024161980838381,0.4443747819042896
Wokingham,70700.0,0.0,0.0,0.0,0.0,1552.9,0.0,0.0,0.0,0.0,0.480468313,533,531,530,527,533,520,203,520,3364,8.121183242078828,4.020811263937949,0.851813523085676,0.29093561408416857,0.185634067383397,37302,0.157064448,503250,2.0655436447166924,0.41100977920995535
Wolverhampton North East,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486146457,69,41,59,62,84,216,341,138,941,6.848005274576363,-2.7377415015081272,-0.09783258816512713,0.3167723582614282,0.170388711948663,18061,0.163513036,200000,1.9868895878165864,0.45999331095244733
Wolverhampton South East,10000.0,0.0,0.0,0.0,0.0,5620.0,0.0,0.0,0.0,0.0,0.417405029,23,10,17,10,69,98,293,124,621,6.432940092739179,-3.3887490372307814,-0.4738389883825094,0.3399811776259251,0.143189164859445,19112,0.209109295,180000,1.9997084610602585,0.4304757190967183
Wolverhampton West,14801.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416510585,149,98,106,229,140,327,319,190,1409,7.251344983372214,-1.46512154262497,-0.015614681640037318,0.299108555754826,0.180275697155114,28744,0.25340151,228500,1.946184667832555,0.46410161513775455
Worcester,20459.64,0.0,1149.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488634941,255,261,251,253,241,229,325,159,1719,7.450079569807499,-0.4517498457870459,-0.2332952867706749,0.2915482135996924,0.180426431041106,28872,0.127867049,252000,1.956822145700103,0.4639103179876339
Worsley and Eccles,3000.0,0.0,14566.67,4795.65,0.0,0.0,0.0,0.0,0.0,0.0,0.544804884,153,169,132,218,82,157,444,252,1454,7.282761179605593,-1.8585241126975856,0.6772519187328089,0.28614457831325213,0.171760889712696,27030,0.111194248,239000,1.9564796106802234,0.35932212784427064
Worthing West,8700.0,0.0,1700.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46824426,324,333,254,282,270,394,362,202,2097,7.6487397889562425,0.3414633097253031,0.35093528107388877,0.2342991806538854,0.269678227666852,25899,0.10896768100000001,370000,1.923974672932248,0.4607762733719116
Wycombe,19675.0,0.0,2975.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403827337,397,338,372,306,471,382,126,458,2453,7.805474625270857,1.8757166222342878,0.2257918228381691,0.3146095600873313,0.140948576206624,32194,0.24835637100000002,385000,2.018037514480787,0.44439596585207247
Wyre Forest,0.0,0.0,7000.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533230978,214,219,182,170,272,231,171,204,1449,7.27931883541462,-0.6931231571973533,-0.6489560773870817,0.2502149949183013,0.254808068172934,22057,0.049721982,235000,1.9558737864077669,0.36923207878009334
Wythenshawe and Sale East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478288925,46,56,58,134,21,68,286,227,850,6.7464121285733745,-2.893515913723842,-0.1847317706173968,0.3190772902028362,0.149975694904768,28932,0.16814931,270000,1.9517668410376854,0.4640080169719963
Yeovil,30500.0,0.0,0.0,1291.67,0.0,863.69,0.0,0.0,0.0,0.0,0.519919141,287,308,263,216,279,300,256,237,1859,7.528331766707247,0.07088931611383027,-0.03817902307946075,0.2561834608420313,0.244977863731596,23866,0.096867396,245000,1.9687236604455147,0.33703489814231014
York Central,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374951954,370,372,422,238,285,401,441,198,2357,7.765569081097317,0.8193689388392176,0.7275349604521099,0.37787851969584696,0.13741037079849,36169,0.142730205,280000,1.916179879462216,0.46410161513775455
York Outer,32221.75,0.0,1661.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513618677,527,527,501,491,419,532,420,473,3363,8.120886021092838,3.2273438285431433,1.7318634054180304,0.2516494878326949,0.257650532419497,30580,0.066847359,325000,2.017031448420109,0.3606418254455439
